Job Title,Requirements
Assistant Operations Executive (Depot Management),"Monitor customer inventory and email correspondence.
Monitor incoming gate return and transshipment volumes, ensuring effective yard space management.
Handle equipment breakdowns, coordinating replacements with the control center.
Send daily resource emails based on operational requirements.
Manage RTG block activities and coordinate cross-gantry operations to address exceptions.
Track IYS productivity, monitor PM waiting times, and allow the operations team to utilize PMs when no shifts are scheduled.
Respond to exceptions, such as reefer malfunctions and container exchanges.
Monitor gate return queues and make diversion decisions during bad weather or heavy traffic.
Diploma in Logistics / Supply Chain Management. Other disciplines with experience in logistics operations management preferable in 3rd party logistics, distribution or manufacturing environment will also be considered
Proficiency in MS Office
Ability to work independently
Good communication skills
Non-shift"
Operations Executive / Senior Operations Executive (Port Ecosystem),"Manage day to day administrative & staff matters.
To work with trucking and warehouse team for the received invoices and to verify that all billing documents are validated.
To ensure all trucking permits and shipping documents are in order and properly documented for invoices billed.
Maintain ISO certification records.
Support audit checks for ISO certification from external government agencies.
Conduct audit checks on warehousing and trucking operations for compliance to ISO certifications.
Degree in any discipline
Logistics operations management experience preferable in 3rd party logistics, trucking, distribution or manufacturing environment will be an added advantage.
Proficient in advanced MS Excel knowledge
Good in writing, meticulous and able to work independently
Good critical thinking & analytical skills
Good communication & interpersonal skills
Able to work under pressure and in a constantly changing environment."
Senior Procurement Executive / Assistant Manager (Engineering Procurement),"Working closely with the user departments to devise the strategy of tendering and translate the strategy into tender documents with clear and detailed specifications that will fit business needs
Drafting contract documents that detail contractors' responsibilities and liabilities, while safeguarding PSA’s interests
Performing analysis of the tender submissions and negotiate with suppliers to select best value offer for the organization
Performing post-contract management together with internal stakeholders, to ensure that suppliers meet their contractual obligations, and identify and manage risks that may arise during the contract tenure
Additionally, working on sustainable procurement frameworks with PSA’s suppliers in alignment with PSA’s corporate goal of sustainability
Possess a degree with at least 2 years’ of experience in sourcing and procurement
A good understanding of strategic sourcing, tendering process, contract management, contract negotiation and contract governance
Excellent communication skills, effective influencing skills and skilled in contract negotiations
Able to establish good working relationships with internal and external stakeholders so as to meet PSA’s business needs
Resourceful, driven and able to drive innovation, champion change and work collaboratively and achieve results
Experience with e-procurement software/ platforms preferred (for e.g. Ariba, Coupa, Oracle, Zycus, etc.)
Those with CIPS certification will have an added advantage"
Manager / Deputy Manager (OT Security Governance & Compliance),"Processes a degree in Computer Engineering, Computer Science, Cybersecurity, Information Security, Electrical & Electronics Engineering or equivalent
Cybersecurity Experience in OT/ICS environments will be preferred
Possess of GICSP, CISSP, CISA, CISM certification would be an advantage
Good knowledge and understanding of industry OT & IT security standards and principles such as NIST cybersecurity frameworks, IEC 62443 and ISO27001/2
Strong leadership, communication, interpersonal, analytical and problem-solving skills in a fast-moving environment
Good project management skills and able to work as a team as well as independently"
Manager/Senior Manager (Commercial),"Establish and maintain network with cargo owners, logistics service providers and government agencies
Initiate sales opportunities and pursue sales leads.
Design pricing strategies for different products, which can be Singapore-centric or with a regional focus across SEA borders
Negotiate proposals with customers
Identify opportunities for synergising physical solutions with digital initiatives.
Gather market intel on trade / market / competitor updates
Organize events for customer relationship management.
Work with different teams in PSA SEA and PSA Group to operationalize the marketed initiatives through:
Conducting process mapping with customers to identify supply chain pain points
Work with operations teams to re-design existing business processes or design new processes to resolve pain points
Work with legal team to draft legal documents and facilitate signing of contracts with customers
Work with Finance departments to implement concluded commercial terms
Act as liaison between customer and internal departments for day-to-day requests from customers.
Prospect and qualify new sales leads.
Schedule meetings and presentations with prospects
Create, plan, and deliver presentations on company products.
Track all sales activities and keep current by updating account information regularly.
Communicate customer and prospect product pain points to appropriate departments.
Maintain a well-developed pipeline of prospects.
Develop strong, ongoing relationships with prospects and customers.
Meet and/or exceed quotas.
Coordinate with other team members and departments to optimize the sales effort.
Degree in any discipline
At least 5 years of sales experience with proven track record to meet and exceed sales quotas in the following verticals.Life Science & HealthcareIndustrial & TechnologyRetail & ConsumerChemical
Life Science & Healthcare
Industrial & Technology
Retail & Consumer
Chemical
Proven track record of successfully managing customer relationships.
Excellent interpersonal skills
Highly self-motivated
Proficient in Microsoft Office
Critical thinking and writing skills.
Basic level of data intelligence and curiosity preferred.
Preferably bilingual in English and Chinese (both spoken and written)
Adaptability and resilience; able to react nimbly to dynamic changes in customer demands and work scope.
Life Science & Healthcare
Industrial & Technology
Retail & Consumer
Chemical"
Assistant Manager/Deputy Manager (Commercial),"Establish and maintain network with cargo owners, logistics service providers and government agencies
Initiate sales opportunities and pursue sales leads.
Design pricing strategies for different products, which can be Singapore-centric or with a regional focus across SEA borders
Negotiate proposals with customers
Identify opportunities for synergising physical solutions with digital initiatives.
Gather market intel on trade / market / competitor updates
Organize events for customer relationship management.
Work with different teams in PSA SEA and PSA Group to operationalize the marketed initiatives through:
Conducting process mapping with customers to identify supply chain pain points
Work with operations teams to re-design existing business processes or design new processes to resolve pain points
Work with legal team to draft legal documents and facilitate signing of contracts with customers
Work with Finance departments to implement concluded commercial terms
Act as liaison between customer and internal departments for day-to-day requests from customers.
Prospect and qualify new sales leads.
Schedule meetings and presentations with prospects
Create, plan, and deliver presentations on company products.
Track all sales activities and keep current by updating account information regularly.
Communicate customer and prospect product pain points to appropriate departments.
Maintain a well-developed pipeline of prospects.
Develop strong, ongoing relationships with prospects and customers.
Meet and/or exceed quotas.
Coordinate with other team members and departments to optimize the sales effort.
Degree in any discipline
At least 3 years of sales experience with proven track record to meet and exceed sales quotas in the following verticals.Life Science & HealthcareIndustrial & TechnologyRetail & ConsumerChemical
Life Science & Healthcare
Industrial & Technology
Retail & Consumer
Chemical
Proven track record of successfully managing customer relationships.
Excellent interpersonal skills
Highly self-motivated
Proficient in Microsoft Office
Critical thinking and writing skills.
Basic level of data intelligence and curiosity preferred.
Preferably bilingual in English and Chinese (both spoken and written)
Adaptability and resilience; able to react nimbly to dynamic changes in customer demands and work scope.
Life Science & Healthcare
Industrial & Technology
Retail & Consumer
Chemical"
ITE Scholarship - Infocomm Technology Track,"Internship Opportunities:Gain hands-on experience in a dynamic industry.
Structured Development Program:Enhance your skills with our tailored learning pathways.
Current ITE student or up to 12 months from the date of graduation or ORD.
Good academic performance.
Strong adaptability to a dynamic work environment.
Prepared to perform 24 by 7 standby
Sponsorship for ITE Education:Financial support to cover tuition and other expenses.
Lump Sum Grant:Additional funds to assist with miscellaneous fees."
Polytechnic Scholarship - Infocomm Technology Tack,"Internship Opportunities:Gain real-world experience in a cutting-edge industry.
Structured Development Program:Advance your skills with a curriculum designed to shape you into an IT professional.
Networking Sessions:Connect with PSA leaders and industry experts to broaden your professional horizons.
Current polytechnic student or up to 12 months from the date of graduation or ORD.
Good academic performance in IT-related courses.
Demonstrated problem-solving skills and a keen interest in technology.
Proficiency in programming languages or IT systems.
Excellent analytical, communication, and teamwork skills.
Adaptability to emerging technologies and dynamic IT environments.
Prepared to perform 24 by 7 standby or perform shift work
Sponsorship for Tertiary Education:Financial support to cover your studies at local polytechnics.
Lump Sum Grant:Assistance for tuition and miscellaneous fees."
Management Executive (Shared Services),"Office management - ensure upkeep of office facilities, meeting rooms and indoor facilities, administration of building access, oversee office improvement projects
Canteen management - coordinate with users, tenants and supporting teams to provide good dining experience for staff and port users
Inventory management – manage processes for inventory, distribution and procurement for efficient administration of office supplies, consumables and Personal Protective Equipment (PPE)
Finance administration, contract management and payments – manage and monitor service levels from vendors and service providers, review PSA’s user requirements to provide up to date specifications for contract renewal exercises.
Purchase administration -  sourcing for quotations for goods and services, evaluate and provide recommendations for purchasing decisions
Lead, supervise and manage a team of JOs to carry out the above functions
Lead or support tenders relating to the above functions
Other ad-hoc assignments and projects for process review and improvement as assigned.
Possess a degree from a recognized university
Good organization and time management skills
Able to multi-task and respond promptly in a fast pace environment
Collaborate as a team player
Able to establish good working relationships with internal and external stakeholders
Resourceful, driven, and able to thrive in a dynamic environment
Meticulous and willing to learn
Fluent in English, able to communicate with individuals at all levels in the organization
Proficient in Microsoft Office (Outlook, Word, Excel and Powerpoint)"
Deputy Manager (Port Ecosystem Commercial),"Establish and maintain network with cargo owners, logistics service providers and government agencies
Initiate sales opportunities and pursue sales leads.
Design pricing strategies for different products, which can be Singapore-centric or with a regional focus across SEA borders
Negotiate proposals with customers
Identify opportunities for synergising physical solutions with digital initiatives.
Gather market intel on trade / market / competitor updates
Organize events for customer relationship management.
Work with different teams in PSA SEA and PSA Group to operationalize the marketed initiatives through:
Conducting process mapping with customers to identify supply chain pain points
Work with operations teams to re-design existing business processes or design new processes to resolve pain points
Work with legal team to draft legal documents and facilitate signing of contracts with customers
Work with Finance departments to implement concluded commercial terms
Act as liaison between customer and internal departments for day-to-day requests from customers.
Prospect and qualify new sales leads.
Schedule meetings and presentations with prospects
Create, plan, and deliver presentations on company products.
Track all sales activities and keep current by updating account information regularly.
Communicate customer and prospect product pain points to appropriate departments.
Maintain a well-developed pipeline of prospects.
Develop strong, ongoing relationships with prospects and customers.
Meet and/or exceed quotas.
Coordinate with other team members and departments to optimize the sales effort.
Degree in any discipline
At least 3-4 years of sales experience with proven track record to meet and exceed sales quotas in the following verticals.Life science & HealthcareIndustrial & TechnologyRetail & Consumer
Life science & Healthcare
Industrial & Technology
Retail & Consumer
Proven track record of successfully managing customer relationships.
Excellent interpersonal skills
Highly self-motivated
Proficient in Microsoft Office
Critical thinking and writing skills.
Basic level of data intelligence and curiosity preferred.
Preferably bilingual in English and Chinese (both spoken and written)
Adaptability and resilience; able to react nimbly to dynamic changes in customer demands and work scope.
Life science & Healthcare
Industrial & Technology
Retail & Consumer"
